ticket_text,category,priority
The product caught fire! This is a massive safety hazard. I need a replacement and an investigation!,Product Issue,High
Help! My account has been hacked! Someone changed my password and email. Lock it immediately!,Account,High
I'm getting a 500 Internal Server Error every time I try to save my work. I'm losing data! ASAP.,Technical Issue,High
Urgent: I cannot log in at all. I've tried resetting my password 5 times and it's not working. Please help.,Account,High
Urgent: My account has been hacked! Someone changed my password and email. Lock it immediately! Thanks.,Account,High
Help! I need to merge two duplicate accounts. Waiting for your reply.,Account,Medium
"Hello, The search function is not returning any results. ASAP.",Technical Issue,Medium
The dashboard is loading very slowly today.,Technical Issue,Medium
"Hi support, My payment failed but the money was deducted from my bank! Fix this now! Thanks.",Payment,High
Help! I can't export my reports to PDF. It just hangs. Waiting for your reply.,Technical Issue,Medium
Urgent: Do you have a mobile app? Waiting for your reply.,General Inquiry,Low
Urgent: The color of the product I received doesn't match the website. Thanks.,Product Issue,Medium
"Hello, How do I change my email address associated with this account? Please help.",Account,Medium
Help! The color of the product I received doesn't match the website. Waiting for your reply.,Product Issue,Medium
When can I expect my refund to be processed?,Refund,Medium
Urgent: Do you have a mobile app?,General Inquiry,Low
Urgent: I didn't receive my invoice for this month. ASAP.,Billing,Medium
Urgent: Do you accept cryptocurrency?,Payment,Low
Urgent: I can't export my reports to PDF. It just hangs. Please help.,Technical Issue,Medium
"Hello, The battery life on this device is much shorter than advertised.",Product Issue,Medium
"Hello, I'm getting a 500 Internal Server Error every time I try to save my work. I'm losing data! Waiting for your reply.",Technical Issue,High
Is there a way to customize the color of the app interface?,Product Issue,Low
Help! Just checking the status of my refund request. Thanks.,Refund,Low
"Hello, The battery life on this device is much shorter than advertised. ASAP.",Product Issue,Medium
"Hi support, My package was marked as delivered but I never received it! I need this resolved immediately. Thanks.",Shipping,High
"Hello, Do you ship internationally? Waiting for your reply.",Shipping,Low
Urgent: The entire system is down! None of my team can log in. This is critical! ASAP.,Technical Issue,High
"Hi support, Just wondering when the next billing cycle starts. Thanks.",Billing,Low
"Hi support, The dashboard is loading very slowly today. ASAP.",Technical Issue,Medium
"Hi support, One of the features is not working as described in the manual. Please help.",Product Issue,Medium
Help! What currencies do you support for payments? ASAP.,Payment,Low
"Hi support, My billing address needs to be updated for the next cycle. Please help.",Billing,Medium
Help! How do I change my email address associated with this account? ASAP.,Account,Medium
I was promised a refund 3 weeks ago and still haven't received it. This is unacceptable! Please help.,Refund,High
"Hello, I need to speak to a manager immediately regarding a legal matter. Waiting for your reply.",General Inquiry,High
"Hello, The packaging was a bit dented, but the product is fine. ASAP.",Product Issue,Low
"Hello, The product caught fire! This is a massive safety hazard. I need a replacement and an investigation! ASAP.",Product Issue,High
Just wondering when the next billing cycle starts.,Billing,Low
Urgent: How do I change my email address associated with this account? Waiting for your reply.,Account,Medium
Help! I am a press member and need an immediate statement on the recent outage. Please help.,General Inquiry,High
I would like to request a partial refund for the damaged item.,Refund,Medium
My billing address needs to be updated for the next cycle. Waiting for your reply.,Billing,Medium
I cannot log in at all. I've tried resetting my password 5 times and it's not working. ASAP.,Account,High
"Hello, Just wondering when the next billing cycle starts. Please help.",Billing,Low
"Hi support, The font on the settings page looks a bit weird. Please help.",Technical Issue,Low
Urgent: What currencies do you support for payments? Thanks.,Payment,Low
Help! How do I add a new credit card to my account? Please help.,Payment,Medium
My billing address needs to be updated for the next cycle. Waiting for your reply.,Billing,Medium
The entire system is down! None of my team can log in. This is critical! ASAP.,Technical Issue,High
Help! My account has been hacked! Someone changed my password and email. Lock it immediately! Thanks.,Account,High
"Hello, Just checking the status of my refund request. Please help.",Refund,Low
The software is corrupting my files. I need a patch immediately. Thanks.,Product Issue,High
I have a question about my latest invoice. Can someone explain the charges? Waiting for your reply.,Billing,Medium
"Hello, What courier do you use for standard shipping?",Shipping,Low
"Hello, I cannot complete the checkout process. The payment gateway is timing out. ASAP.",Payment,High
"Hello, My billing address needs to be updated for the next cycle.",Billing,Medium
"Hello, Where can I read your blog? Please help.",General Inquiry,Low
"Hi support, My payment is pending. How long does it usually take to clear? Thanks.",Payment,Medium
"Hi support, I need to merge two duplicate accounts.",Account,Medium
Urgent: My package was marked as delivered but I never received it! I need this resolved immediately. Waiting for your reply.,Shipping,High
Urgent: Can I change my username? ASAP.,Account,Low
"Hi support, Can I get a demo of the enterprise features? Thanks.",General Inquiry,Medium
"Hello, My payment is pending. How long does it usually take to clear? ASAP.",Payment,Medium
I cannot complete the checkout process. The payment gateway is timing out.,Payment,High
"Hello, I need to merge two duplicate accounts. Thanks.",Account,Medium
Urgent: I cancelled my subscription within the 30-day window but was still charged. Refund now!,Refund,High
"Hello, I didn't receive my invoice for this month. ASAP.",Billing,Medium
"Hello, I didn't receive my invoice for this month. Thanks.",Billing,Medium
Urgent: The search function is not returning any results. ASAP.,Technical Issue,Medium
"Hello, My account was suspended without any notice. I need access restored now. Waiting for your reply.",Account,High
I would like to request a partial refund for the damaged item. Please help.,Refund,Medium
"Hello, The color of the product I received doesn't match the website. ASAP.",Product Issue,Medium
When will my order be shipped? Waiting for your reply.,Shipping,Low
"Hi support, How do I change my payment method for future bills?",Billing,Low
Urgent: Is there a way to get a copy of my old invoices? ASAP.,Billing,Low
Urgent: The instructions were a bit hard to understand. Please help.,Product Issue,Low
"Hello, Can I get a demo of the enterprise features?",General Inquiry,Medium
"Hello, How do I update my profile picture? Waiting for your reply.",Account,Low
Can I get a demo of the enterprise features? Please help.,General Inquiry,Medium
The color of the product I received doesn't match the website.,Product Issue,Medium
I need to speak to a manager immediately regarding a legal matter. ASAP.,General Inquiry,High
My card is being declined even though it has sufficient funds. I need to buy this now. ASAP.,Payment,High
My tracking number hasn't updated in 3 days.,Shipping,Medium
Urgent: When can I expect my refund to be processed? Waiting for your reply.,Refund,Medium
"Hello, I need to speak to a manager immediately regarding a legal matter.",General Inquiry,High
Help! I have a question about my latest invoice. Can someone explain the charges? Waiting for your reply.,Billing,Medium
The device stopped working completely after one day. It's totally defective. Thanks.,Product Issue,High
"Hi support, Can I change the shipping address for my current order? ASAP.",Shipping,Medium
Urgent: I can't export my reports to PDF. It just hangs. Waiting for your reply.,Technical Issue,Medium
"Hello, The battery life on this device is much shorter than advertised. Please help.",Product Issue,Medium
Minor UI glitch on the profile page. Waiting for your reply.,Technical Issue,Low
Urgent: Is there a way to get a copy of my old invoices? Thanks.,Billing,Low
Help! I cannot log in at all. I've tried resetting my password 5 times and it's not working. Please help.,Account,High
"Hi support, My account has been hacked! Someone changed my password and email. Lock it immediately! ASAP.",Account,High
Urgent: The entire system is down! None of my team can log in. This is critical! Please help.,Technical Issue,High
Urgent: Where can I find my account ID? Thanks.,Account,Low
"Hello, Is there a fee for using a specific payment method? ASAP.",Payment,Low
"Hello, Do you have a mobile app?",General Inquiry,Low
"Hi support, Do you have a mobile app? Thanks.",General Inquiry,Low
"Hi support, Just checking the status of my refund request. ASAP.",Refund,Low
The shipping address was wrong and it's going to the wrong state. Stop the shipment! ASAP.,Shipping,High
Help! When will my order be shipped?,Shipping,Low
"Hello, My payment failed but the money was deducted from my bank! Fix this now! Waiting for your reply.",Payment,High
The search function is not returning any results. Waiting for your reply.,Technical Issue,Medium
The device stopped working completely after one day. It's totally defective. Thanks.,Product Issue,High
"Hi support, Do you offer discounts for non-profit organizations?",General Inquiry,Medium
"I returned the item last week, when will the refund hit my account?",Refund,Medium
I cancelled my subscription within the 30-day window but was still charged. Refund now! Waiting for your reply.,Refund,High
Urgent: The color of the product I received doesn't match the website.,Product Issue,Medium
Urgent: Is there a way to get a copy of my old invoices? Thanks.,Billing,Low
"Hi support, I want to delete my account. Please guide me through the process. Thanks.",Account,Medium
"Hello, How do I change my email address associated with this account? Thanks.",Account,Medium
Help! I need to merge two duplicate accounts. Thanks.,Account,Medium
Help! Can I change the shipping address for my current order?,Shipping,Medium
"Hello, The battery life on this device is much shorter than advertised. Waiting for your reply.",Product Issue,Medium
I cancelled my subscription within the 30-day window but was still charged. Refund now! Please help.,Refund,High
"Hello, Is there a way to customize the color of the app interface? Thanks.",Product Issue,Low
"Hello, Is there a way to customize the color of the app interface?",Product Issue,Low
Urgent: The dashboard is loading very slowly today. ASAP.,Technical Issue,Medium
Urgent: How do I update my profile picture?,Account,Low
Urgent: Minor UI glitch on the profile page. ASAP.,Technical Issue,Low
Can I get a demo of the enterprise features? ASAP.,General Inquiry,Medium
Urgent: I was promised a refund 3 weeks ago and still haven't received it. This is unacceptable! ASAP.,Refund,High
"Hello, My account was suspended without any notice. I need access restored now.",Account,High
Help! How much is the expedited shipping fee?,Shipping,Medium
"Hi support, My billing address needs to be updated for the next cycle. ASAP.",Billing,Medium
Can I pay via PayPal instead of credit card? Please help.,Payment,Medium
"Hello, The font on the settings page looks a bit weird. Waiting for your reply.",Technical Issue,Low
"Hello, Do you offer refunds for digital products? Please help.",Refund,Low
Is there a fee for using a specific payment method? Waiting for your reply.,Payment,Low
"Hi support, The battery life on this device is much shorter than advertised.",Product Issue,Medium
Urgent: My card is being declined even though it has sufficient funds. I need to buy this now. Thanks.,Payment,High
Help! Do you offer refunds for digital products? ASAP.,Refund,Low
How do I change my email address associated with this account? Please help.,Account,Medium
The color of the product I received doesn't match the website. Please help.,Product Issue,Medium
What are your office hours?,General Inquiry,Low
The product caught fire! This is a massive safety hazard. I need a replacement and an investigation!,Product Issue,High
Urgent: My account has been hacked! Someone changed my password and email. Lock it immediately! Please help.,Account,High
"Hi support, Can I change my username? Please help.",Account,Low
Help! The device stopped working completely after one day. It's totally defective. ASAP.,Product Issue,High
"Hi support, How do I change my payment method for future bills? Waiting for your reply.",Billing,Low
"Hello, Can I pay via PayPal instead of credit card? Thanks.",Payment,Medium
"Hi support, Do you accept cryptocurrency? ASAP.",Payment,Low
I was charged twice for my subscription and my account is now overdrawn. Please fix this immediately! Waiting for your reply.,Billing,High
"Hi support, What are your office hours?",General Inquiry,Low
Urgent: I can't export my reports to PDF. It just hangs. Waiting for your reply.,Technical Issue,Medium
Urgent: My order is 2 weeks late and I need the items for an event tomorrow. Waiting for your reply.,Shipping,High
Help! Do you ship internationally? Waiting for your reply.,Shipping,Low
"Hi support, Can I change my username? Waiting for your reply.",Account,Low
Help! Just wondering when the next billing cycle starts. ASAP.,Billing,Low
Urgent: Minor UI glitch on the profile page. Waiting for your reply.,Technical Issue,Low
"Hi support, My tracking number hasn't updated in 3 days. ASAP.",Shipping,Medium
My tracking number hasn't updated in 3 days. Waiting for your reply.,Shipping,Medium
Help! Do you have a mobile app? ASAP.,General Inquiry,Low
"Hi support, I have a question about my latest invoice. Can someone explain the charges? Waiting for your reply.",Billing,Medium
Urgent: How do I become an affiliate partner? ASAP.,General Inquiry,Medium
"Hi support, How do I add a new credit card to my account? Thanks.",Payment,Medium
Help! Do you offer discounts for non-profit organizations? Please help.,General Inquiry,Medium
Urgent: How do I update my profile picture? Please help.,Account,Low
"Hello, What currencies do you support for payments?",Payment,Low
"Hello, Is there a fee for using a specific payment method? Please help.",Payment,Low
My tracking number hasn't updated in 3 days. Please help.,Shipping,Medium
Urgent: Do you accept cryptocurrency? Please help.,Payment,Low
"Hello, How do I add a new credit card to my account?",Payment,Medium
Help! I was promised a refund 3 weeks ago and still haven't received it. This is unacceptable! ASAP.,Refund,High
Urgent: There is an unauthorized charge on my bill. I need this resolved ASAP. Thanks.,Billing,High
Urgent: I didn't receive my invoice for this month. Please help.,Billing,Medium
"Hello, I have a question about my latest invoice. Can someone explain the charges? Please help.",Billing,Medium
Help! The device stopped working completely after one day. It's totally defective. Thanks.,Product Issue,High
"Hi support, Can I get a demo of the enterprise features? ASAP.",General Inquiry,Medium
Urgent: Do you ship internationally? ASAP.,Shipping,Low
"Hello, I need to merge two duplicate accounts. Waiting for your reply.",Account,Medium
"Hello, What are your office hours? ASAP.",General Inquiry,Low
I can't export my reports to PDF. It just hangs. Please help.,Technical Issue,Medium
"Hello, What currencies do you support for payments? ASAP.",Payment,Low
I have a question about my latest invoice. Can someone explain the charges? Please help.,Billing,Medium
Urgent: My payment failed but the money was deducted from my bank! Fix this now! Please help.,Payment,High
Urgent: I have a question about my latest invoice. Can someone explain the charges? Please help.,Billing,Medium
Urgent: The shipping address was wrong and it's going to the wrong state. Stop the shipment! Thanks.,Shipping,High
"Hello, My credit card was charged but the service is not active. I need a refund right now. Waiting for your reply.",Billing,High
Help! What are your office hours?,General Inquiry,Low
Help! My tracking number hasn't updated in 3 days.,Shipping,Medium
Urgent: I can't export my reports to PDF. It just hangs.,Technical Issue,Medium
"Hi support, I'm getting a 500 Internal Server Error every time I try to save my work. I'm losing data! Thanks.",Technical Issue,High
"Hello, I'm getting a 500 Internal Server Error every time I try to save my work. I'm losing data! ASAP.",Technical Issue,High
Urgent: Can I get a demo of the enterprise features? ASAP.,General Inquiry,Medium
"The packaging was a bit dented, but the product is fine. Please help.",Product Issue,Low
"Hello, Can I pay via PayPal instead of credit card? Thanks.",Payment,Medium
Urgent: Your system is violating GDPR and I need an urgent explanation. Thanks.,General Inquiry,High
Urgent: The entire system is down! None of my team can log in. This is critical! Thanks.,Technical Issue,High
Minor UI glitch on the profile page.,Technical Issue,Low
Help! What are your office hours? Waiting for your reply.,General Inquiry,Low
"Hello, The entire system is down! None of my team can log in. This is critical! Please help.",Technical Issue,High
"Hello, What are your office hours? Thanks.",General Inquiry,Low
"Hello, I am a press member and need an immediate statement on the recent outage. Please help.",General Inquiry,High
"Hi support, I'm getting a 500 Internal Server Error every time I try to save my work. I'm losing data!",Technical Issue,High
"Hi support, The product was completely broken and I need my money back immediately. Please help.",Refund,High
Help! My credit card was charged but the service is not active. I need a refund right now. ASAP.,Billing,High
"Hi support, What is your refund policy? Waiting for your reply.",Refund,Low
My credit card was charged but the service is not active. I need a refund right now. Waiting for your reply.,Billing,High
I would like to request a partial refund for the damaged item. Thanks.,Refund,Medium
I need to merge two duplicate accounts. Please help.,Account,Medium
I cannot log in at all. I've tried resetting my password 5 times and it's not working. ASAP.,Account,High
Urgent: My account was suspended without any notice. I need access restored now. ASAP.,Account,High
"Hello, Can I get a demo of the enterprise features? ASAP.",General Inquiry,Medium
Urgent: What currencies do you support for payments? Please help.,Payment,Low
Help! Minor UI glitch on the profile page. ASAP.,Technical Issue,Low
"Hello, The product was completely broken and I need my money back immediately. Please help.",Refund,High
Help! Just wondering when the next billing cycle starts. Waiting for your reply.,Billing,Low
"Hi support, The software is corrupting my files. I need a patch immediately.",Product Issue,High
"Hello, Can I change my username? ASAP.",Account,Low
"Hello, Can I change the shipping address for my current order? Thanks.",Shipping,Medium
Help! I am a press member and need an immediate statement on the recent outage. ASAP.,General Inquiry,High
My account was suspended without any notice. I need access restored now. Waiting for your reply.,Account,High
Do you offer discounts for non-profit organizations? Thanks.,General Inquiry,Medium
Help! I have a question about my latest invoice. Can someone explain the charges? Please help.,Billing,Medium
Help! My account has been hacked! Someone changed my password and email. Lock it immediately! ASAP.,Account,High
"Hello, I was promised a refund 3 weeks ago and still haven't received it. This is unacceptable! ASAP.",Refund,High
Help! I want to delete my account. Please guide me through the process. ASAP.,Account,Medium
Is there a dark mode available for the app?,Technical Issue,Low
"Hello, How do I add a new credit card to my account? Waiting for your reply.",Payment,Medium
The font on the settings page looks a bit weird. Please help.,Technical Issue,Low
"Hi support, I cancelled my subscription within the 30-day window but was still charged. Refund now! ASAP.",Refund,High
